EthnicGroup,ParentEduc
C,bachelor
C,college
A,masters
E,college
C,associates
A,college
C,associates
D,masters
D,highschool
D,associates
C,college
E,college
D,college
D,masters
D,college
B,associates
A,college
D,associates
D,highschool
E,highschool
A,college
E,associates
C,college
B,highschool
D,highschool
C,associates
C,highschool
C,college
D,masters
B,associates
D,associates
B,masters
D,college
E,highschool
D,highschool
B,masters
B,masters
D,highschool
C,highschool
B,bachelor
B,bachelor
C,associates
E,bachelor
B,highschool
A,associates
C,masters
D,bachelor
D,college
E,associates
A,highschool
D,masters
A,college
C,college
B,associates
D,masters
C,college
B,college
C,highschool
A,highschool
B,highschool
C,college
B,associates
B,highschool
D,highschool
D,highschool
B,highschool
D,bachelor
E,college
B,college
E,bachelor
A,highschool
C,highschool
C,masters
C,college
C,highschool
D,highschool
C,bachelor
E,college
C,highschool
D,highschool
B,bachelor
C,highschool
B,bachelor
D,masters
E,highschool
D,college
B,associates
C,masters
B,highschool
B,associates
C,college
B,associates
C,highschool
A,highschool
B,bachelor
A,college
A,highschool
C,highschool
C,associates
C,bachelor
C,bachelor
C,college
D,masters
B,masters
B,college
D,college
D,highschool
C,associates
B,bachelor
C,masters
E,college
C,highschool
C,college
E,college
C,college
B,associates
D,highschool
D,highschool
A,college
A,highschool
D,college
B,college
B,college
B,associates
E,college
D,college
D,highschool
C,college
C,highschool
D,highschool
D,highschool
C,highschool
C,masters
D,college
D,associates
E,college
D,highschool
D,highschool
E,associates
C,associates
B,college
C,associates
C,highschool
B,associates
E,highschool
C,masters
C,college
D,associates
C,college
B,highschool
B,associates
D,college
B,highschool
D,college
D,highschool
C,college
E,bachelor
D,college
B,highschool
C,associates
B,associates
D,associates
E,highschool
E,highschool
C,college
D,associates
E,highschool
C,college
D,highschool
C,highschool
C,highschool
A,college
C,highschool
C,college
E,associates
B,associates
C,college
C,college
C,highschool
C,associates
E,highschool
C,associates
D,highschool
B,highschool
A,college
B,highschool
C,highschool
B,bachelor
C,highschool
C,college
B,highschool
C,college
D,highschool
C,associates
D,associates
E,highschool
C,highschool
C,highschool
B,college
C,bachelor
E,highschool
C,highschool
E,associates
D,bachelor
C,highschool
D,highschool
D,highschool
B,highschool
E,associates
C,highschool
D,college
C,college
D,highschool
C,associates
D,associates
C,masters
B,highschool
D,bachelor
C,associates
B,college
B,masters
E,college
C,highschool
C,highschool
C,associates
B,college
D,bachelor
D,college
C,associates
C,highschool
C,highschool
C,college
B,college
B,associates
D,associates
C,highschool
A,highschool
C,college
D,college
B,masters
D,highschool
D,highschool
D,highschool
B,associates
D,college
E,bachelor
D,associates
C,bachelor
A,bachelor
A,bachelor
E,masters
E,college
C,highschool
C,masters
A,associates
B,highschool
A,college
C,associates
C,college
C,highschool
E,associates
C,bachelor
D,associates
D,college
B,highschool
B,highschool
B,college
E,highschool
C,associates
B,highschool
B,highschool
D,associates
B,highschool
C,associates
D,college
B,bachelor
E,highschool
C,college
E,associates
B,associates
C,highschool
E,college
E,masters
A,college
C,masters
C,college
D,college
C,highschool
C,college
C,highschool
C,college
B,associates
C,college
C,associates
C,highschool
D,associates
B,bachelor
C,highschool
C,highschool
E,bachelor
D,highschool
C,associates
C,highschool
E,highschool
A,bachelor
B,college
B,college
D,highschool
C,college
C,bachelor
D,associates
C,college
B,associates
D,college
C,highschool
D,college
B,college
B,college
C,highschool
C,college
C,bachelor
C,highschool
D,bachelor
C,college
D,associates
A,highschool
E,highschool
C,highschool
B,highschool
C,college
C,masters
C,associates
D,college
D,college
B,associates
D,bachelor
E,college
C,highschool
C,highschool
A,masters
D,college
C,masters
D,highschool
C,highschool
C,masters
C,associates
B,college
B,masters
C,college
C,college
C,highschool
C,highschool
C,college
C,college
B,highschool
D,college
D,highschool
D,highschool
D,highschool
A,college
B,highschool
E,bachelor
D,college
C,college
B,highschool
D,college
D,college
C,masters
C,highschool
D,college
C,associates
D,college
C,highschool
B,highschool
C,highschool
D,associates
B,highschool
C,associates
B,college
D,college
C,highschool
C,associates
C,college
C,associates
C,highschool
A,college
C,highschool
C,associates
A,college
A,college
C,highschool
C,associates
B,highschool
C,college
A,highschool
C,highschool
B,bachelor
E,masters
B,bachelor
B,associates
B,college
A,college
C,highschool
D,highschool
D,highschool
C,college
D,bachelor
A,highschool
D,masters
C,bachelor
D,bachelor
D,highschool
A,college
D,highschool
B,highschool
E,bachelor
C,associates
C,highschool
C,college
C,highschool
C,bachelor
E,college
D,college
D,college
C,masters
C,highschool
C,college
D,associates
B,highschool
E,highschool
B,bachelor
B,highschool
C,highschool
D,highschool
E,college
C,college
D,masters
C,highschool
C,college
C,college
D,highschool
E,associates
C,bachelor
B,college
C,highschool
D,college
D,associates
B,masters
D,masters
C,associates
D,college
C,associates
C,highschool
C,college
D,college
C,college
B,college
C,college
C,highschool
B,highschool
C,college
A,associates
B,college
D,highschool
E,highschool
D,highschool
C,highschool
C,highschool
D,highschool
C,college
C,college
E,associates
A,highschool
C,college
E,highschool
C,associates
B,college
C,college
D,highschool
D,highschool
C,highschool
B,bachelor
C,highschool
A,college
A,bachelor
B,highschool
C,highschool
E,bachelor
A,highschool
A,highschool
C,college
B,bachelor
B,highschool
A,masters
E,highschool
E,college
C,highschool
B,associates
C,college
D,masters
E,college
D,highschool
C,college
C,college
C,highschool
D,masters
C,associates
E,highschool
B,college
A,associates
D,college
D,associates
E,associates
D,associates
C,highschool
C,highschool
C,highschool
A,highschool
B,bachelor
C,bachelor
D,college
C,bachelor
D,highschool
E,associates
E,highschool
B,bachelor
D,college
D,college
D,college
B,college
C,highschool
B,associates
A,college
B,college
A,associates
C,associates
E,college
D,college
C,associates
E,college
B,highschool
D,college
E,college
A,highschool
D,associates
C,college
D,associates
E,highschool
C,highschool
D,college
C,college
C,highschool
C,highschool
D,bachelor
D,highschool
C,bachelor
C,highschool
C,bachelor
C,bachelor
C,college
C,highschool
D,college
B,highschool
D,masters
D,college
C,highschool
D,college
B,masters
C,masters
D,associates
C,masters
B,highschool
B,highschool
A,college
A,college
C,associates
B,masters
C,highschool
D,college
E,highschool
D,associates
D,college
D,highschool
D,highschool
C,associates
B,masters
C,college
C,masters
C,highschool
D,highschool
D,associates
D,bachelor
B,associates
D,college
C,highschool
C,college
C,highschool
B,associates
D,highschool
C,highschool
B,college
D,highschool
B,college
D,associates
B,highschool
B,highschool
A,college
D,college
D,associates
E,college
C,bachelor
C,associates
C,college
D,college
C,college
E,associates
A,masters
C,highschool
C,highschool
E,associates
C,college
D,highschool
D,highschool
B,associates
C,college
D,college
D,highschool
D,bachelor
C,college
E,highschool
A,bachelor
A,college
D,highschool
C,masters
D,highschool
D,associates
A,college
D,bachelor
E,highschool
C,highschool
C,college
C,college
E,associates
C,associates
C,college
D,bachelor
C,highschool
B,highschool
E,college
D,associates
C,highschool
D,highschool
C,highschool
B,college
B,bachelor
C,associates
B,highschool
D,highschool
D,associates
D,college
C,college
D,bachelor
B,associates
C,college
D,college
D,associates
D,college
C,bachelor
E,highschool
B,bachelor
D,associates
C,highschool
C,highschool
C,bachelor
E,bachelor
C,highschool
B,highschool
B,college
D,highschool
A,college
B,highschool
D,highschool
D,highschool
B,bachelor
B,college
D,masters
D,college
C,highschool
D,college
B,college
D,college
D,highschool
C,associates
B,associates
B,college
B,highschool
D,associates
E,college
E,college
D,associates
B,associates
D,masters
B,associates
D,highschool
C,college
D,highschool
D,associates
D,college
B,highschool
D,highschool
E,highschool
C,bachelor
C,bachelor
B,highschool
C,college
C,college
C,highschool
C,highschool
D,associates
C,highschool
B,highschool
C,highschool
C,masters
D,highschool
C,highschool
C,highschool
C,associates
D,masters
C,highschool
B,associates
B,college
C,highschool
D,associates
C,highschool
C,associates
C,college
D,associates
E,highschool
B,college
B,bachelor
D,associates
E,masters
C,masters
B,highschool
C,bachelor
C,highschool
E,college
D,college
D,college
B,highschool
C,bachelor
C,highschool
C,associates
B,college
C,highschool
C,highschool
B,college
C,highschool
C,college
E,college
D,college
A,college
C,associates
D,college
A,bachelor
C,college
B,bachelor
C,associates
B,associates
D,highschool
B,college
D,highschool
C,associates
C,bachelor
B,college
E,college
D,college
C,bachelor
D,college
B,highschool
C,highschool
D,highschool
C,highschool
C,college
C,associates
D,college
C,associates
C,associates
E,bachelor
B,masters
C,college
B,highschool
D,college
D,highschool
A,highschool
C,highschool
C,highschool
A,college
E,college
D,bachelor
D,associates
C,college
D,college
D,highschool
C,college
D,associates
C,highschool
C,college
D,highschool
C,associates
E,associates
E,highschool
C,highschool
C,college
B,associates
B,associates
B,college
B,highschool
C,highschool
C,highschool
C,highschool
B,associates
C,associates
B,highschool
D,bachelor
A,associates
C,bachelor
C,highschool
C,college
C,college
C,highschool
C,college
C,college
C,college
B,college
C,bachelor
B,associates
D,associates
C,highschool
D,highschool
C,masters
E,highschool
D,college
B,highschool
C,highschool
E,highschool
B,masters
C,associates
D,college
C,college
D,highschool
D,college
D,college
B,highschool
A,highschool
D,college
D,highschool
D,associates
C,college
D,associates
C,highschool
B,associates
C,highschool
A,college
C,college
A,college
D,highschool
D,highschool
B,masters
A,college
C,highschool
E,bachelor
C,associates
B,associates
C,associates
A,highschool
D,highschool
A,highschool
B,college
E,associates
E,highschool
C,college
D,college
D,college
C,masters
D,college
C,college
D,highschool
B,associates
D,highschool
C,associates
D,highschool
E,highschool
D,highschool
A,bachelor
D,college
C,highschool
E,associates
A,highschool
E,college
C,associates
C,masters
C,college
C,associates
E,masters
D,college
D,associates
D,college
B,masters
D,highschool
C,college
D,associates
C,college
D,associates
C,highschool
B,college
D,masters
C,highschool
C,highschool
D,highschool
D,college
E,college
C,associates
D,highschool
C,college
C,associates
B,highschool
A,highschool
C,highschool
C,highschool
B,bachelor
C,masters
C,highschool
D,college
A,highschool
C,bachelor
B,highschool
B,college
D,college
B,highschool
B,associates
B,highschool
B,highschool
C,highschool
B,highschool
C,associates
D,highschool
C,college
C,bachelor
B,associates
D,highschool
A,college
C,highschool
D,college
B,college
C,college
A,bachelor
C,highschool
D,highschool
D,highschool
E,bachelor
